"stationName","basin","waterLevel","datetime_UTC","localDateTime","unit","warningLevel","dangerLevel","longitude","latitude"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 00:30:00","2019-07-20 06:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 01:00:00","2019-07-20 06:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 01:15:00","2019-07-20 07:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 02:00:00","2019-07-20 07:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 02:15:00","2019-07-20 08:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-20 03:45:00","2019-07-20 09:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-20 04:00:00","2019-07-20 09:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-20 04:15:00","2019-07-20 10:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 04:30:00","2019-07-20 10:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 04:45:00","2019-07-20 10:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 05:30:00","2019-07-20 11:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 05:30:00","2019-07-20 11:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 05:30:00","2019-07-20 11:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 06:00:00","2019-07-20 11:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 06:15:00","2019-07-20 12:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 06:30:00","2019-07-20 12:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 08:15:00","2019-07-20 14:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 09:00:00","2019-07-20 14:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-20 09:30:00","2019-07-20 15:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-20 09:30:00","2019-07-20 15:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 09:45:00","2019-07-20 15:30:00","m",2.3,2.8,"27.774022","85.425821"
